state,group,value
Johor,New Cases,400890
Johor,Recovered Cases,394314
Kedah,New Cases,321684
Kedah,Recovered Cases,319289
Kelantan,New Cases,263108
Kelantan,Recovered Cases,261483
Melaka,New Cases,151216
Melaka,Recovered Cases,148393
Negeri Sembilan,New Cases,233913
Negeri Sembilan,Recovered Cases,232081
Pahang,New Cases,184534
Pahang,Recovered Cases,182852
Perak,New Cases,243101
Perak,Recovered Cases,240374
Perlis,New Cases,19461
Perlis,Recovered Cases,19188
Pulau Pinang,New Cases,311968
Pulau Pinang,Recovered Cases,309574
Sabah,New Cases,408120
Sabah,Recovered Cases,401398
Sarawak,New Cases,327927
Sarawak,Recovered Cases,325909
Selangor,New Cases,1575889
Selangor,Recovered Cases,1563455
Terengganu,New Cases,134598
Terengganu,Recovered Cases,133403
