State,Year,Month,Time ,Cumulative_New_Cases,Cumulative Recovered Cases,Population,cases_capita
Johor,2020,2,1,1,8,4100000,2.44E-07
Johor,2020,3,2,344,44,4100000,8.39E-05
Johor,2020,4,3,656,364,4100000,0.00016
Johor,2020,5,4,668,939,4100000,0.000162927
Johor,2020,6,5,684,664,4100000,0.000166829
Johor,2020,7,6,735,681,4100000,0.000179268
Johor,2020,8,7,744,730,4100000,0.000181463
Johor,2020,9,8,760,731,4100000,0.000185366
Johor,2020,10,9,899,809,4100000,0.000219268
Johor,2020,11,10,1372,1032,4100000,0.000334634
Johor,2020,12,11,5727,2824,4100000,0.001396829
Johor,2021,1,12,21551,13474,4100000,0.005256341
Johor,2021,2,13,35950,31379,4100000,0.008768293
Johor,2021,3,14,41248,39591,4100000,0.010060488
Johor,2021,4,15,45370,43056,4100000,0.011065854
Johor,2021,5,16,58376,51593,4100000,0.014238049
Johor,2021,6,17,70817,65777,4100000,0.017272439
Johor,2021,7,18,90676,77738,4100000,0.022116098
Johor,2021,8,19,138640,111999,4100000,0.033814634
Johor,2021,9,20,195838,169056,4100000,0.047765366
Johor,2021,10,21,218130,207153,4100000,0.053202439
Johor,2021,11,22,231956,221105,4100000,0.056574634
Johor,2021,12,23,244933,235962,4100000,0.059739756
Johor,2022,1,24,259572,245505,4100000,0.063310244
Johor,2022,2,25,319853,293566,4100000,0.078012927
Johor,2022,3,26,372462,357918,4100000,0.09084439
Johor,2022,4,27,382200,374887,4100000,0.093219512
Johor,2022,5,28,384340,377373,4100000,0.093741463
Johor,2022,6,29,386013,378998,4100000,0.094149512
Johor,2022,7,30,388739,381277,4100000,0.09481439
Johor,2022,8,31,391982,384565,4100000,0.095605366
Johor,2022,9,32,393840,386808,4100000,0.096058537
Johor,2022,10,33,395286,388256,4100000,0.09641122
Johor,2022,11,34,396986,390080,4100000,0.096825854
Johor,2022,12,35,397776,391026,4100000,0.097018537
Kedah,2020,2,1,76,22,2190000,3.47E-05
Kedah,2020,3,2,94,84,2190000,4.29E-05
Kedah,2020,4,3,95,91,2190000,4.34E-05
Kedah,2020,5,4,96,93,2190000,4.38E-05
Kedah,2020,6,5,108,97,2190000,4.93E-05
Kedah,2020,7,6,215,160,2190000,9.82E-05
Kedah,2020,8,7,366,297,2190000,0.000167123
Kedah,2020,9,8,2123,1839,2190000,0.000969406
