Date,cases_unvax,cases_pvax,cases_fvax
1.00,17,0,0
2.00,2758,0,0
3.00,5994,0,0
4.00,7811,0,0
5.00,8631,0,0
6.00,8968,0,0
7.00,9332,0,0
8.00,11216,0,0
9.00,31540,0,0
10.00,65689,0,0
11.00,113002,0,0
12.00,214950,1,0
13.00,300740,4,0
14.00,345159,326,7
15.00,407679,867,159
16.00,566814,3643,1892
17.00,735864,10809,5298
18.00,1017097,73901,22266
19.00,1361603,268818,115825
20.00,1556624,370443,318620
21.00,1621997,390785,458691
22.00,1661785,393502,574857
23.00,1690403,394457,665352
24.00,1713456,395073,737875
25.00,1815542,399598,993690
26.00,1925073,419859,1197583
27.00,1959112,431364,1248165
28.00,1964835,432582,1259827
29.00,1969354,433100,1270738
30.00,1978465,433791,1291683
31.00,1988384,434451,1312578
32.00,1993954,434746,1324021
33.00,1998975,434992,1335170
34.00,2006551,435398,1354494
35.00,2010279,435554,1361433
